Level,NumReads,NumWrites,NumHits,NumMisses,MissRate,TotalCycles
L1,528384,4096,258741,273739,51.4083,2480901
L2,273739,0,272201,1538,0.561849,2208368
L3,1538,0,0,1538,100,153800
