Level,NumReads,NumWrites,NumHits,NumMisses,MissRate,TotalCycles
L1,548864,278528,819567,7825,0.945743,897495
L2,7825,0,6283,1542,19.7061,81104
L3,1542,0,0,1542,100,154200
